LOGO,LOGOW,Initials,HLTV Name,Name,PLAYER 1,PLAYER 2,PLAYER 3,PLAYER 4,PLAYER 5,PLAYER 6,Wiki,HLTV
[🇩🇪](#big,TRUE,BIG,BIG,BIG,🇩🇪 faveN,🇩🇪 Krimbo,🇩🇪 syrsoN,🇩🇪 tabseN,🇩🇪 tiziaN,🇩🇪 k1to,https://liquipedia.net/counterstrike/BIG,https://www.hltv.org/team/7532/big
[🇩🇪](#big,TRUE,BIG AC,BIG Academy,BIG Academy,🇩🇪 Aqua,🇩🇪 hyped,🇩🇪 prosus,🇩🇪 s1n,🇩🇪 skyye,🇩🇪 k1to,https://liquipedia.net/counterstrike/BIG_Academy,https://www.hltv.org/team/10254/big-academy
[🇵🇹](#big,TRUE,BIG EQ,BIG EQUIPA,BIG EQUIPA,🇵🇹 Aida,🇪🇸 Aidy,🇵🇹 D7,🇪🇸 JennyR,🇵🇹 Zana,,,https://www.hltv.org/team/11500/equipa
[🇲🇰](#lang-mk,FALSE,BLUEJAYS,BLUEJAYS,BLUEJAYS,🇲🇰 aidKiT,🇲🇰 CacaNito,🇲🇰 dan1,🇲🇰 kyxsan ♛,🇲🇰 stYleEeZ,🇲🇰 2high,https://liquipedia.net/counterstrike/BLUEJAYS,https://www.hltv.org/team/5347/bluejays
boom,FALSE,BOOM,,BOOM Esports,br) boltz,br) chelo,br) fer,br) shz,br) yel,un),https://liquipedia.net/counterstrike/BOOM_Esports,
[🇿🇦](#bravado,FALSE,Bravado,Bravado,Bravado Gaming,🇿🇦 bLazE,🇿🇦 Doru,🇿🇦 mango,🇿🇦 SloWye ♛,🇿🇦 wipeout,🇿🇦 wilj,https://liquipedia.net/counterstrike/Bravado_Gaming,https://www.hltv.org/team/5158/bravado
CCC,,,,,,,,,,,,
c0ntact,FALSE,c0ntact,,c0ntact Gaming,lt) EspiranTo,fi) ottoNd,ch) rigoN,dk) Snappi,il) Spinx,un),https://liquipedia.net/counterstrike/C0ntact_Gaming,
[🇧🇷](#lang-br,FALSE,Case,Case,Case Esports,🇧🇷 honda,🇧🇷 leo_drk,🇧🇷 RCF,🇧🇷 steel ♛,🇧🇷 yepz,,https://liquipedia.net/counterstrike/Case_Esports,https://www.hltv.org/team/10894/case
chaos,FALSE,Chaos,,Chaos Esports Club,ca) Jonji,us) leaf,mx) MarKE,us) vanity,us) Xeppaa,un),https://liquipedia.net/counterstrike/Chaos_Esports_Club,
[🇷🇺](#cloud9,FALSE,Cloud9,Cloud9,Cloud9,🇷🇺 Ax1Le,🇰🇿 HObbit,🇷🇺 interz,🇷🇺 nafany ♛,🇷🇺 sh1ro,🇷🇺 groove,https://liquipedia.net/counterstrike/Cloud9,https://www.hltv.org/team/5752/cloud9
[🇺🇸](#complexity,TRUE,COL,Complexity,Complexity Gaming,🇨🇦 FaNg,🇺🇸 floppy,🇺🇸 Grim,🇿🇦 JT ♛,🇺🇸 junior,🇿🇦 T.c,https://liquipedia.net/counterstrike/Complexity_Gaming,https://www.hltv.org/team/5005/complexity
[🇪🇺](#lang-eu,FALSE,cowana,cowana,cowana Gaming,🇪🇪 HS,🇭🇺 kolor,🇩🇪 kRYSTAL ♛,🇱🇹 maty,🇩🇪 stfN,🇩🇪 KiNGDOM,https://liquipedia.net/counterstrike/Cowana_Gaming,https://www.hltv.org/team/10968/cowana
[🇩🇰](#flames,TRUE,CPH Flames,Copenhagen Flames,Copenhagen Flames,🇩🇰 b0RUP,🇩🇰 birdfromsky ♛,🇩🇰 raalz,🇷🇴 regali,🇩🇰 TMB,🇩🇰 cube,https://liquipedia.net/counterstrike/Copenhagen_Flames,https://www.hltv.org/team/7461/copenhagen-flames
[🇺🇸](#clg,FALSE,CLG Red,CLG Red,Counter Logic Gaming Red,🇺🇸 di^,🇺🇸 Emy,🇨🇦 GooseBreeder ♛,🇺🇸 Juli,🇺🇸 uhKelsie,,https://liquipedia.net/counterstrike/Counter_Logic_Gaming_Red,https://www.hltv.org/team/6242/clg-red
DDD,,,,,,,,,,,,
d13,FALSE,D13,,D13,mn) Annihilation,mn) H4wK,mn) rate,mn) shinobi,mn) yAmi,mn) tamir,https://liquipedia.net/counterstrike/D13,https://www.hltv.org/team/8607/d13
detona,FALSE,DETONA,,DETONA Gaming,br) frostezoR,br) lux,ar) NikoM,br) nqz,br) phx,br) exp,https://liquipedia.net/counterstrike/DETONA_Gaming,https://www.hltv.org/team/8902/detona
[🇸🇪](#dig,FALSE,DIG,,Dignitas,🇸🇪 f0rest,🇸🇪 friberg ♛,🇳🇴 hallzerk,🇸🇪 HEAP,🇸🇪 Lekr0,🇳🇴 H4RR3,https://liquipedia.net/counterstrike/Dignitas,https://www.hltv.org/team/5422/dignitas
EEE,,,,,,,,,,,,
[🇩🇰](#lang-dk,FALSE,ECSTATIC,ECSTATIC,ECSTATIC,🇩🇰 brzer,🇩🇰 Cabbi,🇩🇰 kraghen,🇩🇰 maNkz ♛,🇩🇰 Queenix,,https://liquipedia.net/counterstrike/ECSTATIC,https://www.hltv.org/team/11419/ecstatic
[🇪🇺](#ence,FALSE,ENCE,ENCE,ENCE,🇵🇱 dycha,🇵🇱 hades,🇲🇪 Maden,🇩🇰 Snappi ♛,🇮🇱 Spinx,🇵🇱 Snax,https://liquipedia.net/counterstrike/ENCE,https://www.hltv.org/team/4869/ence
[🇫🇮](#ence,FALSE,ENCE AC,ENCE Academy,ENCE Academy,🇫🇮 HENU,🇫🇮 juissi,🇫🇮 myltsi,🇫🇮 podi,🇫🇮 S1rva ♛,🇬🇧 Whitey,https://liquipedia.net/counterstrike/ENCE_Academy,https://www.hltv.org/team/11790/ence-academy
[🇦🇺](#lang-au,FALSE,Encore,Encore,Encore Esports Club,🇦🇺 AZR,🇳🇿 Gratisfaction,🇦🇺 hazr,🇦🇺 SaVage,🇳🇿 sterling,🇦🇺 BenSaVage,https://liquipedia.net/counterstrike/Encore_Esports_Club,https://www.hltv.org/team/11726/encore
[🇪🇺](#endpoint,FALSE,Endpoint,Endpoint,Endpoint,🇳🇱 CRUC1AL,🇩🇰 Kjaerbye,🇬🇧 MiGHTYMAX ♛,🇮🇱 Nertz,🇬🇧 Surreal,🇩🇰 Rejin,https://liquipedia.net/counterstrike/Endpoint,https://www.hltv.org/team/7234/endpoint
energy,FALSE,Energy,,Energy Esports,za) disTroiT,za) flexeeee,za) pnd,za) Wip3ouT,un),un),https://liquipedia.net/counterstrike/Energy_Esports,
[🇪🇺](#lang-eu,FALSE,ENTERPRISE,Enterprise,ENTERPRISE esports,🇷🇴 Blytz,🇧🇬 h4rn,🇨🇿 manguss,🇨🇿 stinx,🇸🇰 The eLiVe ♛,,https://liquipedia.net/counterstrike/ENTERPRISE_esports,https://www.hltv.org/team/10873/enterprise
[🇷🇺](#entropiq,FALSE,Entropiq,Entropiq,Entropiq,🇷🇺 Forester,🇷🇺 Krad,🇷🇺 mir,🇷🇺 NickelBack ♛,🇺🇦 SENSEi,🇷🇺 hooch,https://liquipedia.net/counterstrike/Entropiq,https://www.hltv.org/team/10831/entropiq
envyus,TRUE,Envy,,Team Envy,tr) Calyx,de) LEGIJA,pl) MICHU,us) Nifty,en) Thomas,un),https://liquipedia.net/counterstrike/Team_Envy,
espada,TRUE,ESPADA,,ESPADA,ru) degster,ru) Dima,ru) FinigaN,ru) Patsi,ru) S0tF1k,un),https://liquipedia.net/counterstrike/ESPADA,
[🇺🇦](#lang-ua,FALSE,EC Kyiv,EC Kyiv,Esports Club Kyiv,🇺🇦 byr9 ♛,🇺🇦 Kvem,🇺🇦 s4ltovsk1yy,🇺🇦 Smash,🇺🇦 uQlutzavr,🇺🇦 WOLF,https://liquipedia.net/counterstrike/Esports_Club_Kyiv,https://www.hltv.org/team/10888/ec-kyiv
[🇹🇷](#eternalfire,FALSE,EF,Eternal Fire,Eternal Fire,🇹🇷 imoRR ♛,🇹🇷 paz,🇹🇷 woxic,🇹🇷 XANTARES,🇹🇷 xfl0ud,🇹🇷 bishop,https://liquipedia.net/counterstrike/Eternal_Fire,https://www.hltv.org/team/11251/eternal-fire
[🇹🇷](#eternalfire,FALSE,EF AC,Eternal Fire Academy,Eternal Fire Academy,🇹🇷 Cizzx,🇹🇷 cyber,🇹🇷 EMSTAR,🇹🇷 jottAAA,🇹🇷 zeK,🇹🇷 Wicadia,,https://www.hltv.org/team/11458/eternal-fire-academy
