LOGO,LOGOW,Initials,HLTV Name,Name,PLAYER 1,PLAYER 2,PLAYER 3,PLAYER 4,PLAYER 5,PLAYER 6,Wiki,HLTV
[🇺🇸](#tl,FALSE,Liquid,Liquid,Team Liquid,🇺🇸 EliGE,🇨🇦 NAF,🇺🇸 nitr0 ♛,🇺🇸 oSee,🇱🇻 YEKINDAR,🇨🇦 daps,https://liquipedia.net/counterstrike/Team_Liquid,https://www.hltv.org/team/5973/liquid
[🇧🇷](#one,FALSE,LOS oNe,TeamOne,LOS oNe,🇧🇷 iDk,🇬🇹 malbsMd,🇧🇷 Maluk3 ♛,🇧🇷 pesadelo,🇧🇷 trk,🇦🇷 lokomotioN,https://liquipedia.net/counterstrike/LOS_%2B_oNe,https://www.hltv.org/team/6947/teamone
[🇨🇳](#lynn,FALSE,LVG,Lynn Vision,Lynn Vision Gaming,🇨🇳 expro ♛,🇨🇳 Nelly,🇨🇳 Starry,🇨🇳 Westmelon,🇨🇳 z4kr,🇨🇳 Kayo,https://liquipedia.net/counterstrike/Lynn_Vision_Gaming,https://www.hltv.org/team/8840/lynn-vision
MMM,,,,,,,,,,,,
mad,FALSE,Lions,,MAD Lions,dk) b0RUP,lt) jL ,pl) MICHU,pl) rallen,dk) TMB ♛,ua) sdy,https://liquipedia.net/counterstrike/MAD_Lions,https://www.hltv.org/team/8362/mad-lions
[🇩🇰](#lang-dk,FALSE,MASONIC,MASONIC,MASONIC,🇩🇰 Anlelele,🇩🇰 Buzz,🇩🇰 J3nsyy,🇩🇰 notaN,🇩🇰 Tauson,,https://liquipedia.net/counterstrike/MASONIC,https://www.hltv.org/team/10867/masonic
[🇧🇷](#mibr,FALSE,MIBR,MIBR,MIBR,🇧🇷 brnz4n,🇧🇷 chelo ♛,🇧🇷 exit,🇧🇷 JOTA,🇧🇷 Tuurtle,🇧🇷 BIT,https://liquipedia.net/counterstrike/MIBR,https://www.hltv.org/team/9215/mibr
[🇧🇷](#mibr,FALSE,MIBR FE,MIBR fe,MIBR Female,🇧🇷 Arkynha ♛,🇧🇷 hera,🇧🇷 josi,🇦🇷 khizha,🇧🇷 LyttleZ,,,
[🇦🇺](#lang-au,FALSE,Mindfreak,Mindfreak,Mindfreak,🇦🇺 BiBiAhn,🇦🇺 Eimi,🇦🇺 Emiinent,🇦🇺 mish,🇦🇺 Viscose,,,https://www.hltv.org/team/11668/mindfreak
[🇲🇳](#mongolz,TRUE,MongolZ,TheMongolz,The MongolZ,🇲🇳 ncl ♛,🇲🇳 PRISM,🇲🇳 Senzu,🇲🇳 Tsogoo,🇲🇳 yAmi,🇲🇳 Noks,https://liquipedia.net/counterstrike/The_MongolZ,https://www.hltv.org/team/6248/themongolz
[🇪🇺](#msports,FALSE,MOUZ,MOUZ,MOUZ,🇭🇺 torzsi 𖦏,🇮🇱 xertioN ♛,🇮🇱 Spinx,🇭🇺 xelex,🇨🇿 PR,🇩🇰 sycrone,https://liquipedia.net/counterstrike/MOUZ,https://www.hltv.org/team/4494/mouz
[🇵🇱](#msports,FALSE,MOUZ NXT,MOUZ NXT,MOUZ NXT,🇫🇮 Jimpphat,🇵🇱 mhL,🇵🇱 siuhy ♛,🇵🇱 szejn,🇮🇱 xertioN,🇩🇰 TOBIZ,https://liquipedia.net/counterstrike/Mouz_NXT,https://www.hltv.org/team/11176/mouz-nxt
[🇪🇸](#movistar,FALSE,Riders,Movistar Riders,Movistar Riders,🇪🇸 alex ♛,🇪🇸 dav1g,🇪🇸 DeathZz,🇪🇸 mopoz,🇪🇸 SunPayus,🇪🇸 bladE,https://liquipedia.net/counterstrike/Movistar_Riders,https://www.hltv.org/team/7718/movistar-riders
[🇺🇸]#mythic,FALSE,Mythic,Mythic,Mythic,🇺🇸 Cooper,🇺🇸 fl0m,🇺🇸 freakazoid,🇺🇸 hate,🇨🇦 YuZ,,https://liquipedia.net/counterstrike/Mythic,https://www.hltv.org/team/5479/mythic
NNN,,,,,,,,,,,,
[🇪🇺](#navi,FALSE,NAVI,Natus Vincere,Natus Vincere,🇺🇦 b1t,🇫🇮 Aleksib ♛,🇷🇴 iM,🇺🇦 w0nderful 𖦏,🇽🇰 makazze,🇺🇦 B1ad3,https://liquipedia.net/counterstrike/Natus_Vincere,https://www.hltv.org/team/4608/natus-vincere
[🇺🇦](#navi,FALSE,NAVI JR,NAVI Junior,Natus Vincere Junior,🇺🇦 Dem0N,🇺🇦 fear ♛,🇺🇦 froz1k,🇺🇦 headtr1ck,🇺🇦 nipl,🇺🇦 UNBR0KEN,https://liquipedia.net/counterstrike/Natus_Vincere_Junior,https://www.hltv.org/team/10371/navi-junior
[🌍](#nasr,FALSE,NASR,NASR,NASR Esports,🇷🇺 almazer,🇮🇶 Bibu,🇷🇺 propleh,🇯🇴 REAL1ZE,🇹🇳 Remind,🇷🇺 balblna,https://liquipedia.net/counterstrike/NASR_Esports,https://www.hltv.org/team/8211/nasr
[🇵🇱](#navi,FALSE,NAVI Jav,NAVI Javelins,NAVI Javelins,🇵🇱 Angelka,🇵🇱 Danuu,🇵🇱 Hanka,🇵🇱 Liina,🇵🇱 vicu,,,
nemiga,FALSE,Nemiga,,Nemiga Gaming,ru) BELCHONOKK,by) boX ♛,by) Chill,ru) iDISBALANCE,ee) Jyo,by) mds,https://liquipedia.net/counterstrike/Nemiga_Gaming,https://www.hltv.org/team/7969/nemiga
[🇷🇺](#lang-ru,FALSE,NGX FE,Nigma Galaxy,Nigma Galaxy Female,🇷🇴 ANa,🇸🇰 Kat,🇷🇺 tory,🇷🇺 twenty3,🇷🇺 vilga,,https://liquipedia.net/counterstrike/Nigma_Galaxy_Female,https://www.hltv.org/team/11681/nigma-galaxy
nip,TRUE,NIP,,Ninjas In Pyjamas,se) hampus,se) nawwk,se) Plopski,se) REZ,se) twist,un),https://liquipedia.net/counterstrike/Ninjas_in_Pyjamas,
[🇿🇦](#lang-za,FALSE,Nixuh,Nixuh,Nixuh,🇿🇦 adM ♛,🇿🇦 blackpoisoN,🇿🇦 kanii,🇿🇦 Sonic,🇿🇦 Triton,,https://liquipedia.net/counterstrike/Nixuh,https://www.hltv.org/team/11667/nixuh
[🇲🇳](#lang-mn,FALSE,NKT,NKT,Team NKT,🇲🇳 dobu,🇲🇳 erkaSt ♛,🇹🇭 Kntz,🇲🇳 nin9,🇰🇷 XigN,🇹🇭 MYM,https://liquipedia.net/counterstrike/Team_NKT,https://www.hltv.org/team/11135/nkt
north,TRUE,North,,North,dk) cajunb,dk) gade,se) kreaz,dk) Kristou,se) Lekr0,un),https://liquipedia.net/counterstrike/North,
[🇺🇸](#lang-us,FALSE,Nouns,Nouns,Nouns Esports,🇺🇸 Bwills,🇺🇸 cynic ♛,🇺🇸 cxzi,🇺🇸 jeorgesnorts,🇺🇸 nosraC,🇺🇸 JazzPimp,,https://www.hltv.org/team/11869/ex-gaimin-gladiators
OOO,,,,,,,,,,,,
[🇪🇺](#og,FALSE,OG,OG,OG,🇵🇱 F1KU,🇮🇱 flameZ,🇵🇱 mantuu,🇨🇿 NEOFRAG,🇷🇸 nexa ♛,🇷🇺 degster,https://liquipedia.net/counterstrike/OG,https://www.hltv.org/team/10503/og
[🇪🇺](#og,FALSE,OG AC,OG Academy,OG Academy,🇽🇰 Dementor,🇱🇺 Marix,🇧🇬 oxygeN,🇷🇴 s0und,🇧🇬 shaiK,🇩🇪 crisby,https://liquipedia.net/counterstrike/OG_Academy,https://www.hltv.org/team/11672/og-academy
[🇧🇷](#one,FALSE,oNe,TeamOne,Team oNe eSports,🇧🇷 b4rtiN,🇧🇷 iDk,🇧🇷 Maluk3 ♛,🇧🇷 pesadelo,🇧🇷 trk,🇧🇷 exp,https://liquipedia.net/counterstrike/Team_One,https://www.hltv.org/team/6947/teamone
[🇦🇺](#order,FALSE,ORDER,ORDER,ORDER,🇦🇺 aliStair,🇦🇺 INS ♛,🇦🇺 Liazz,🇳🇿 Sico,🇦🇺 Vexite,🇦🇺 Kingfisher,https://liquipedia.net/counterstrike/ORDER,https://www.hltv.org/team/8668/order
[🇷🇺](#outsiders,FALSE,Outsiders,Outsiders,Outsiders,🇷🇺 fame,🇷🇺 FL1T,🇷🇺 Jame ♛,🇷🇺 n0rb3r7,🇰🇿 Qikert,🇰🇿 dastan,https://liquipedia.net/counterstrike/Outsiders,https://www.hltv.org/team/11595/outsiders
PPP,,,,,,,,,,,,
[🇧🇷](#pain,TRUE,paiN,paiN,paiN Gaming,🇧🇷 biguzera,🇧🇷 hardzao,🇧🇷 NEKIZ,🇧🇷 nython,🇧🇷 PKL ♛,🇧🇷 rikz,https://liquipedia.net/counterstrike/PaiN_Gaming,https://www.hltv.org/team/4773/pain
[🇷🇺](#parivision,FALSE,PARA,PARIVISION,PARAVISION,🇷🇺 Jame ♛𖦏,🇷🇺 xiELO,🇷🇺 zweih,🇷🇺 slaxejezzz,🇷🇺 FL1T,🇰🇿 dastan,https://liquipedia.net/counterstrike/PARIVISION,https://www.hltv.org/team/12467/parivision
QQQ,,,,,,,,,,,,
quantum,FALSE,QBF,,Quantum Bellator Fire,ru) balblna,ru) Boombl4,ru) jmqa,lt) Kvik,ru) waterfaLLZ,un) ,https://liquipedia.net/counterstrike/Quantum_Bellator_Fire,https://www.hltv.org/team/7367/quantum-bellator-fire
RRR,,,,,,,,,,,,
[🇨🇳](#lang-cn,FALSE,RA,Rare Atom,Rare Atom,🇨🇳 advent ♛,🇨🇳 JamYoung,🇲🇾 Kaze,🇨🇳 Mercury,🇨🇳 Moseyuh,🇨🇳 aumaN,https://liquipedia.net/counterstrike/Rare_Atom,https://www.hltv.org/team/11514/rare-atom
rbg,FALSE,RBG,,RBG Esports,us) chop,ca) HexT,us) jitter,ca) Walco,us) wiz,us) Axed,https://liquipedia.net/counterstrike/RBG_Esports,https://www.hltv.org/team/10258/rbg
[🇦🇺](#renegades,FALSE,RNG,,Renegades,🇦🇺 aliStair,🇦🇺 Hatz,🇦🇺 INS,🇦🇺 Liazz,🇳🇿 Sico ♛,🇦🇺 Kingfisher,https://liquipedia.net/counterstrike/Renegades,https://www.hltv.org/team/6211/renegades
[🇦🇺](#lang-au,FALSE,Rooster,Rooster,Rooster,🇦🇺 asap,🇳🇿 chelleos,🇦🇺 dangeR,🇦🇺 TjP,🇦🇺 viridian,,https://liquipedia.net/counterstrike/Rooster,https://www.hltv.org/team/9881/rooster
SSS,,,,,,,,,,,,
[🇪🇺](#lang-eu,FALSE,Sangal,Sangal,Sangal Esports,🇭🇺 kory,🇩🇪 kyuubii,🇸🇪 phzy,🇩🇪 ScrunK ♛,🇹🇷 Soulfly,🇩🇪 kressy,https://liquipedia.net/counterstrike/Sangal_Esports,https://www.hltv.org/team/10333/sangal
[🇵🇹](#saw,FALSE,SAW,SAW,SAW,🇵🇹 ewjerkz,🇵🇹 JUST,🇵🇹 MUTiRiS ♛,🇵🇹 rmn,🇵🇹 story,🇪🇸 arki,https://liquipedia.net/counterstrike/SAw_%28Portuguese_team%29,https://www.hltv.org/team/10567/saw
[🇧🇷](#shark,FALSE,Sharks,Sharks,Sharks Esports,🇧🇷 chay,🇧🇷 drg ♛,🇧🇷 guizin,🇧🇷 jnt,🇧🇷 n1ssim,🇵🇹 coachi,https://liquipedia.net/counterstrike/Sharks_Esports,https://www.hltv.org/team/8113/sharks
[🇨🇿](#lang-cz,FALSE,SINNERS,SINNERS,SINNERS Esports,🇨🇿 beastik ♛,🇨🇿 forsyy,🇨🇿 SHOCK,🇨🇿 ZEDKO,🇸🇰 Zero,🇨🇿 tomkeejs,https://liquipedia.net/counterstrike/SINNERS_Esports,https://www.hltv.org/team/10577/sinners
[🇧🇬](#lang-bg,FALSE,SKADE,SKADE,SKADE,🇧🇬 bubble ♛,🇧🇬 dennyslaw,🇧🇬 dream3r,🇧🇬 Rainwaker,🇧🇬 SHiPZ,🇧🇬 ,https://liquipedia.net/counterstrike/SKADE,https://www.hltv.org/team/10386/skade
[🇷🇺](#spirit,TRUE,Spirit,Spirit,Team Spirit,🇷🇺 magixx ♛,🇺🇦 zont1x,🇷🇺 donk,🇷🇺 sh1ro 𖦏,🇧🇾 tN1R,🇷🇺 hally,https://liquipedia.net/counterstrike/Team_Spirit,https://www.hltv.org/team/7020/spirit
[🇷🇺](#spirit,TRUE,Spirit AC,Spirit Academy,Team Spirit Academy,🇷🇺 ArtFr0st,🇷🇺 donk,🇷🇺 H4SAN4TOR,🇺🇦 OWNER ♛,🇺🇦 zont1x,🇺🇦 notineki,https://liquipedia.net/counterstrike/Team_Spirit_Academy,https://www.hltv.org/team/7900/spirit-academy
[🇪🇺](#sprout,FALSE,Sprout,Sprout,Sprout,🇷🇴 lauNX,🇩🇰 raalz ♛,🇩🇪 slaxz-,🇩🇪 Spiidi,🇩🇰 Staehr,🇩🇰 BERRY,https://liquipedia.net/counterstrike/Sprout,https://www.hltv.org/team/8637/sprout
[🇺🇸](#lang-us,FALSE,Strife,Strife,Strife Esports,🇨🇦 J0LZ,🇺🇸 jitter,🇺🇸 reck,🇺🇸 SLIGHT ♛,🇺🇸 Snakes,🇺🇸 becker,https://liquipedia.net/counterstrike/Strife_Esports,https://www.hltv.org/team/11298/strife
TTT,,,,,,,,,,,,
tiger,FALSE,TIGER,,TIGER,mn) cool4st,mn) dobu,mn) kabal,mn) nin9,mn) rate,un),https://liquipedia.net/counterstrike/TIGER,
[🇩🇰](#tricked,FALSE,Tricked,Tricked,Tricked Esport,🇩🇰 IceBerg ♛,🇩🇰 kiR,🇩🇰 kwezz,🇩🇰 Lucky,🇩🇰 PR1mE,🇩🇰 Winspai,https://liquipedia.net/counterstrike/Tricked_Esport,https://www.hltv.org/team/4602/tricked
triumph,FALSE,Triumph,,Triumph,us) Bwills,us) cxzi,us) jeorgesnorts,us) viz,us) xCeeD,us) hate,https://liquipedia.net/counterstrike/Triumph,https://www.hltv.org/team/10304/triumph
[🇨🇳](#tyloo,FALSE,TYLOO,TYLOO,TYLOO,🇨🇳 aristo,🇨🇳 DANK1NG,🇭🇰 Freeman,🇨🇳 SLOWLY,🇨🇳 Summer ♛,🇷🇸 LETN1,https://liquipedia.net/counterstrike/TYLOO,https://www.hltv.org/team/4863/tyloo
UUU,,,,,,,,,,,,
[🇰🇿](#unique,FALSE,Unique,,Team Unique,🇰🇿 dukefissura,🇰🇿 ice,🇰🇿 smiley,🇰🇿 sorrow ♛,🇰🇿 w1nt3r,🇷🇺 tonyblack,https://liquipedia.net/counterstrike/Team_Unique,https://www.hltv.org/team/9287/unique
VVV,,,,,,,,,,,,
[🇦🇺](#lang-au,FALSE,VERTEX,VERTEX,VERTEX Esports Club,🇳🇿 ADDICT,🇦🇺 BL1TZ,🇦🇺 BRACE ♛,🇦🇺 malta,🇦🇺 pz,🇦🇺,https://liquipedia.net/counterstrike/VERTEX_Esports_Club,https://www.hltv.org/team/10672/vertex
vici,FALSE,ViCi,,ViCi Gaming,cn) advent,cn) aumaN,cn) JamYoung,my) Kaze,cn) zhokiNg,cn) k4Mi,https://liquipedia.net/counterstrike/ViCi_Gaming,https://www.hltv.org/team/7606/vici
vp,FALSE,VP,,Virtus.pro,kz) buster,ru) FL1T,ru) Jame ♛,kz) Qikert,lv) YEKINDAR,uz) SANJI,https://liquipedia.net/counterstrike/Virtus.pro,https://www.hltv.org/team/5378/virtuspro
[🇫🇷](#vitality,FALSE,Vitality,Vitality,Team Vitality,🇫🇷 apEX ♛,🇫🇷 ZywOo 𖦏,🇮🇱 flameZ,🇬🇧 mezii,🇪🇪 ropz,🇫🇷 XTQZZZ (c),https://liquipedia.net/counterstrike/Team_Vitality,https://www.hltv.org/team/9565/vitality
vp,FALSE,VP.P,,VP.Prodigy,ru) cheerful,ru) delus1onn,ru) lom1k,ru) r3salt,ru) RuFire ♛,ru) Xerison,https://liquipedia.net/counterstrike/VP.Prodigy,https://www.hltv.org/team/10864/vpprodigy
WWW,,,,,,,,,,,,
[🇨🇳](#wingsup,TRUE,Wings Up,Wings Up,Wings Up Gaming,🇨🇳 B1NGO ♛,🇨🇳 ChildKing,🇨🇳 gas,🇨🇳 lan,🇨🇳 Martin,🇨🇳 Rita,https://liquipedia.net/counterstrike/Wings_Up_Gaming,https://www.hltv.org/team/10851/wings-up
winstrike,FALSE,Winstrike,Winstrike,Winstrike Team,ru) El1an,ru) Forester,ru) Krad,kz) Lack1,ru) NickelBack,un),https://liquipedia.net/counterstrike/Winstrike_Team,
XXX,,,,,,,,,,,,
x6tence,TRUE,x6tence,x6tence,x6tence,dk) maNkz,dk) mertz,dk) Nodios,dk) Queenix,dk) tenzki,un) ,,
YYY,,,,,,,,,,,,
yeah,FALSE,Yeah,Yeah,Yeah Gaming,us) bew,br) dumau,br) f4stzin,br) RCF,us) Swisher,un),https://liquipedia.net/counterstrike/Yeah_Gaming,
[🇨🇳](#lang-cn,FALSE,YK,YK,YK Gaming,🇨🇳 Chester,🇭🇰 Freeman,🇹🇼 Marek,🇨🇳 salmon,🇨🇳 zhokiNg,🇨🇳 z8z,,https://www.hltv.org/team/11542/yk
[🇧🇷](#godsent,FALSE,YGods,Young Gods,Young Gods,🇧🇷 brn$,🇧🇷 lineko ♛,🇧🇷 n9xtz,🇧🇷 Snowzin,🇧🇷 venomzera,,https://liquipedia.net/counterstrike/Young_Gods,https://www.hltv.org/team/7208/godsent-academy
[🇸🇪](#nip,FALSE,YNinjas,Young Ninjas,Young Ninjas,🇸🇪 adamb,🇸🇪 eraa,🇸🇪 LNZ,🇸🇪 maxster,🇸🇪 ztr ♛,🇸🇪 slap,https://liquipedia.net/counterstrike/Young_Ninjas,https://www.hltv.org/team/10960/young-ninjas
ZZZ,,,,,,,,,,,,
